"Time (s)"	"Magnetic Field x (µT)"	"Magnetic Field y (µT)"	"Magnetic Field z (µT)"	"Absolute field (µT)"
3.043916562E0	-5.399999619E-1	2.297999954E1	-4.181999969E1	4.772090059E1
3.053914128E0	-4.799999893E-1	2.334000015E1	-4.163999939E1	4.773756965E1
3.063911661E0	-7.799999714E-1	2.315999985E1	-4.181999969E1	4.781115317E1
3.073909227E0	-2.999999821E-1	2.310000038E1	-4.200000000E1	4.793433026E1
3.083906793E0	-3.599999845E-1	2.315999985E1	-4.181999969E1	4.780614571E1
3.093904359E0	-1.799999923E-1	2.297999954E1	-4.200000000E1	4.787601465E1
3.103901925E0	1.799999923E-1	2.321999931E1	-4.229999924E1	4.825443714E1
3.113899525E0	-5.999999866E-2	2.297999954E1	-4.223999786E1	4.808639515E1
3.123897125E0	5.999999866E-2	2.303999901E1	-4.259999847E1	4.843144665E1
3.133893291E0	-1.799999923E-1	2.285999870E1	-4.247999954E1	4.824067062E1
3.143890824E0	-2.999999821E-1	2.273999977E1	-4.211999893E1	4.786744091E1
3.153888390E0	-4.199999869E-1	2.285999870E1	-4.218000031E1	4.797820720E1
3.163885956E0	1.199999973E-1	2.255999947E1	-4.271999741E1	4.831113903E1
3.173883522E0	3.599999845E-1	2.285999870E1	-4.271999741E1	4.845314561E1
