"Time (s)"	"Acceleration x (m/s^2)"	"Acceleration y (m/s^2)"	"Acceleration z (m/s^2)"	"Absolute acceleration (m/s^2)"
4.641171670E-1	-5.985686928E-2	-7.661679387E-2	9.850046158E0	9.850525990E0
4.661185330E-1	-5.506832153E-2	-8.140534163E-2	9.845257759E0	9.845748305E0
4.681198660E-1	-6.464541703E-2	-8.379961550E-2	9.830892563E0	9.831462251E0
4.701211990E-1	-6.943397224E-2	-7.901106775E-2	9.842864037E0	9.843426043E0
4.721225320E-1	-5.985686928E-2	-8.619388938E-2	9.871595383E0	9.872153141E0
4.741220320E-1	-6.225114316E-2	-7.901106775E-2	9.866806030E0	9.867318744E0
4.761233650E-1	-6.703969836E-2	-6.943397224E-2	9.857229233E0	9.857701737E0
4.781249980E-1	-5.985686928E-2	-6.225114316E-2	9.850046158E0	9.850424730E0
4.801263310E-1	-5.746259540E-2	-6.464541703E-2	9.850046158E0	9.850425894E0
4.821276970E-1	-7.182824612E-2	-6.943397224E-2	9.852440834E0	9.852947313E0
4.841290300E-1	-7.422251999E-2	-7.901106775E-2	9.852440834E0	9.853037203E0
4.861306300E-1	-6.464541703E-2	-7.661679387E-2	9.859623909E0	9.860133508E0
4.881330300E-1	-5.267404765E-2	-7.901106775E-2	9.857229233E0	9.857686618E0
4.901343630E-1	-5.746259540E-2	-8.619388938E-2	9.864412308E0	9.864956235E0
4.921359960E-1	-7.182824612E-2	-7.661679387E-2	9.869200706E0	9.869759471E0
4.941379290E-1	-6.225114316E-2	-7.422251999E-2	9.850046158E0	9.850522499E0
4.961392620E-1	-5.985686928E-2	-6.943397224E-2	9.852440834E0	9.852867314E0
4.981405950E-1	-5.746259540E-2	-6.464541703E-2	9.862017632E0	9.862396907E0
5.001397610E-1	-8.619388938E-2	-7.182824612E-2	9.850046158E0	9.850685154E0
5.021410940E-1	-8.379961550E-2	-7.422251999E-2	9.854835510E0	9.855471287E0
5.041431270E-1	-6.225114316E-2	-6.943397224E-2	9.859623909E0	9.860064904E0
5.061444930E-1	-6.225114316E-2	-8.619388938E-2	9.864412308E0	9.864985290E0
5.081461260E-1	-6.225114316E-2	-7.422251999E-2	9.857229233E0	9.857705227E0
5.101474590E-1	-8.379961550E-2	-6.464541703E-2	9.864412308E0	9.864980060E0
5.121535590E-1	-8.140534163E-2	-8.379961550E-2	9.862017632E0	9.862709616E0
5.141548920E-1	-8.140534163E-2	-8.140534163E-2	9.857229233E0	9.857901491E0
5.161562250E-1	-1.005595401E-1	-7.422251999E-2	9.838075638E0	9.838869521E0
5.181623250E-1	-7.661679387E-2	-6.703969836E-2	9.862017632E0	9.862543091E0
5.201636580E-1	-5.985686928E-2	-7.661679387E-2	9.869200706E0	9.869679608E0
5.221649910E-1	-5.506832153E-2	-8.140534163E-2	9.864412308E0	9.864901902E0
5.241602240E-1	-6.943397224E-2	-7.901106775E-2	9.833286285E0	9.833848839E0
5.261615570E-1	-6.943397224E-2	-7.182824612E-2	9.859623909E0	9.860130019E0
5.281628900E-1	-6.703969836E-2	-6.703969836E-2	9.871595383E0	9.872050650E0
5.301642560E-1	-6.225114316E-2	-6.943397224E-2	9.871595383E0	9.872035843E0
5.321655890E-1	-7.661679387E-2	-6.464541703E-2	9.854835510E0	9.855345357E0
5.341669220E-1	-7.901106775E-2	-7.422251999E-2	9.850046158E0	9.850642672E0
5.361682880E-1	-5.746259540E-2	-6.943397224E-2	9.857229233E0	9.857641258E0
5.381696210E-1	-7.661679387E-2	-7.422251999E-2	9.840469360E0	9.841047523E0
5.401709540E-1	-7.901106775E-2	-7.661679387E-2	9.833286285E0	9.833902178E0
5.421722870E-1	-7.661679387E-2	-7.422251999E-2	9.842864037E0	9.843442058E0
5.441778200E-1	-7.422251999E-2	-9.337671846E-2	9.864412308E0	9.865133470E0
5.461791530E-1	-5.506832153E-2	-8.858817071E-2	9.869200706E0	9.869751920E0
5.481797530E-1	-6.703969836E-2	-8.140534163E-2	9.850046158E0	9.850610664E0
5.501810860E-1	-8.379961550E-2	-6.943397224E-2	9.847652435E0	9.848253751E0
5.521824520E-1	-5.985686928E-2	-8.858817071E-2	9.828497887E0	9.829079378E0
5.541832180E-1	-5.506832153E-2	-9.337671846E-2	9.840469360E0	9.841066455E0
5.561845510E-1	-7.661679387E-2	-8.858817071E-2	9.821314812E0	9.822013166E0
5.581859170E-1	-7.661679387E-2	-8.140534163E-2	9.842864037E0	9.843498840E0
5.601833500E-1	-7.422251999E-2	-7.901106775E-2	9.845257759E0	9.845854563E0
5.621846830E-1	-6.703969836E-2	-8.379961550E-2	9.842864037E0	9.843449047E0
5.641853490E-1	-6.703969836E-2	-7.901106775E-2	9.862017632E0	9.862561981E0
5.661904490E-1	-8.619388938E-2	-7.901106775E-2	9.864412308E0	9.865105286E0
5.681917820E-1	-6.703969836E-2	-8.140534163E-2	9.857229233E0	9.857793328E0
5.701931480E-1	-4.788549617E-2	-8.379961550E-2	9.840469360E0	9.840942670E0
5.721900480E-1	-4.788549617E-2	-8.379961550E-2	9.840469360E0	9.840942670E0
5.741913810E-1	-4.788549617E-2	-9.098244458E-2	9.845257759E0	9.845794593E0
5.761927470E-1	-6.943397224E-2	-7.422251999E-2	9.847652435E0	9.848176915E0
5.781893470E-1	-8.619388938E-2	-8.379961550E-2	9.869200706E0	9.869932844E0
5.801906800E-1	-8.379961550E-2	-8.619388938E-2	9.866806030E0	9.867538346E0
5.821920460E-1	-7.661679387E-2	-7.182824612E-2	9.869200706E0	9.869759471E0
5.841933790E-1	-5.506832153E-2	-7.901106775E-2	9.869200706E0	9.869670605E0
5.861947120E-1	-6.943397224E-2	-8.379961550E-2	9.854835510E0	9.855436387E0
5.881960780E-1	-7.182824612E-2	-7.661679387E-2	9.847652435E0	9.848212422E0
5.901974110E-1	-6.703969836E-2	-7.182824612E-2	9.835680962E0	9.836171694E0
